"v1","v2","asso","diss","adja"
"Abiotrophia","Allocoprobacillus",0.821733502595552,0.298551919609009,0.701448080390991
"Abiotrophia","Azotobacter",0.850637534766801,0.273278672085108,0.726721327914892
"Abiotrophia","Biomaibacter",0.874195384895014,0.250803324444659,0.749196675555341
"Abiotrophia","Calditerrivibrio",0.85025556260732,0.273627883623618,0.726372116376382
"Abiotrophia","Carboxydothermus",0.860316254770729,0.264276129483227,0.735723870516773
"Abiotrophia","Carjivirus",0.822125572877911,0.298223428927113,0.701776571072887
"Abiotrophia","Cellulophaga",0.857338269075036,0.267078388235518,0.732921611764482
"Abiotrophia","Cellulosilyticum",0.852076321644302,0.271959260143591,0.728040739856409
"Abiotrophia","Chazhemtobacterium",0.855383023200601,0.26890237708079,0.73109762291921
"Abiotrophia","Duffyella",0.845407697399235,0.278021853997815,0.721978146002185
"Abiotrophia","Evansella",0.820224892698377,0.299812530843545,0.700187469156455
"Abiotrophia","Gloeomargarita",0.861493580326913,0.26316004604906,0.73683995395094
"Abiotrophia","Halostagnicola",0.838947123242377,0.283771806878012,0.716228193121988
"Acidipropionibacterium","Arenibacter",0.848081889322922,0.275606704088523,0.724393295911476
"Acidipropionibacterium","Caenibius",0.836026851146114,0.286332978238524,0.713667021761476
"Acidipropionibacterium","Chania",0.829012410469973,0.292393219423798,0.707606780576202
"Acidipropionibacterium","Fimbriimonas",0.848746321613784,0.275003343967138,0.724996656032862
"Acidipropionibacterium","Fluviispira",0.835955893567453,0.28639492526278,0.71360507473722
"Acidipropionibacterium","Gullanella",0.828941821138552,0.292453567991099,0.707546432008901
"Actinobacillus","Agathobacter",0.847482093042913,0.276150237150982,0.723849762849018
"Actinobacillus","Alloscardovia",0.835853776713662,0.286484051289367,0.713515948710633
"Actinobacillus","Allosphingosinicella",0.825717925352657,0.295196607913559,0.704803392086441
"Actinobacillus","Amylolactobacillus",0.822708845629784,0.297734071253372,0.702265928746628
"Actinobacillus","Anatilimnocola",0.820930351664584,0.299223702549962,0.700776297450038
"Actinobacillus","Aquiluna",0.821558072265478,0.298698784509179,0.701301215490821
"Actinobacillus","Asticcacaulis",0.841904434950072,0.281154374899208,0.718845625100792
"Actinobacillus","Atelocyanobacterium",0.854055155848472,0.270134081662725,0.729865918337275
"Actinobacillus","Aurantiacibacter",0.822769832407333,0.297682857746854,0.702317142253146
"Actinobacillus","Aurantimicrobium",0.825774604065781,0.29514860319356,0.70485139680644
"Actinobacillus","Baekduia",0.849967828836024,0.273890645298425,0.726109354701575
"Actinobacillus","Carsonella",0.82072719444853,0.299393391336106,0.700606608663894
"Actinobacillus","Desulfolutivibrio",0.832886348576468,0.289061975555011,0.710938024444989
"Actinobacillus","Haloprofundus",0.824700784429423,0.296056764464669,0.703943235535331
"Aequorivita","Areca",0.82740835859214,0.293761503100611,0.706238496899389
"Aequorivita","Defluviitalea",0.827496408597858,0.293686560300384,0.706313439699616
"Aequorivita","Gemmatirosa",0.827978201586415,0.293276148376905,0.706723851623095
"Aequorivita","Halobacteroides",0.853971582191489,0.270211415199757,0.729788584800243
"Aeribacillus","Amphritea",0.83753630682963,0.285012011299848,0.714987988700152
"Aeribacillus","Aquicoccus",0.829508088385005,0.291969100775231,0.708030899224769
"Aeribacillus","Azobacteroides",0.833070224302098,0.288902903843058,0.711097096156942
"Aeribacillus","Deefgea",0.834475823723355,0.287684007442754,0.712315992557246
"Aeribacillus","Fibrisoma",0.839378432633544,0.283391573063188,0.716608426936812
"Agarivorans","Aquifex",0.83956829778415,0.283224029891401,0.716775970108599
"Agarivorans","Chthonomonas",0.836517528934747,0.285904241893377,0.714095758106623
"Agathobacter","Alloscardovia",0.87985071094903,0.245101294418216,0.754898705581784
"Agathobacter","Allosphingosinicella",0.821672211629006,0.298603238739129,0.701396761260871
"Agathobacter","Anaerohalosphaera",0.820261519572524,0.29978198780737,0.70021801219263
"Agathobacter","Anaerolinea",0.857151796236261,0.267252880025397,0.732747119974603
"Agathobacter","Baekduia",0.869436319130638,0.255503112377679,0.744496887622321
"Agathobacter","Desulfolutivibrio",0.856291859657377,0.268056095195225,0.731943904804775
"Agathobacter","Diachasmimorpha",0.831607640635014,0.290165779654482,0.709834220345518
"Agathobacter","Egbenema",0.842318334058099,0.280786098250876,0.719213901749124
"Agathobacter","Granulicatella",0.835110543051895,0.287131900829658,0.712868099170342
"Agathobacter","Hafnia",0.83392360465094,0.288163491224218,0.711836508775782
"Agathobacter","Haloferax",0.862681067186964,0.262029514380571,0.737970485619429
"Agathobacter","Halopseudomonas",0.857937627953824,0.266516764994414,0.733483235005586
"Alkalicoccus","Altericista",0.82050330233471,0.29958028779051,0.70041971220949
"Alkalicoccus","Anderseniella",0.832947882755014,0.289008751809514,0.710991248190486
"Alkalicoccus","Arenibacter",0.845827234861064,0.277644345466404,0.722355654533596
"Alkalicoccus","Caenibius",0.825860874080176,0.295075520773771,0.704924479226229
"Alkalicoccus","Cardiobacterium",0.820803181642885,0.299329933649405,0.700670066350594
"Alkalicoccus","Chania",0.841642840501979,0.281386886242075,0.718613113757925
"Alkalicoccus","Clavibacter",0.822894176583164,0.297578412705656,0.702421587294344
"Alkalicoccus","Fluviispira",0.855657134953622,0.268647413021583,0.731352586978417
"Alloalcanivorax","Aurantimonas",0.827643096651184,0.293561665880285,0.706438334119715
"Alloalcanivorax","Brasilonema",0.835875559094984,0.286465042287027,0.713534957712973
"Alloalcanivorax","Brettanomyces",0.830450238159868,0.29116126273951,0.70883873726049
