Node,Community
Faecalimonas umbilicata,8
Mediterraneibacter gnavus,8
Peptacetobacter hiranonis,8
Catenibacterium sp. co_0103,8
Streptococcus lutetiensis,8
Megamonas funiformis,8
Streptococcus pluranimalium,9
Candidatus Liberibacter africanus,9
Helicobacter pylori,9
Candidatus Atelocyanobacterium thalassa,9
Guillardia theta,9
Limnospira indica,9
Clostridium botulinum,9
Candidatus Phytoplasma rubi,9
Lactiplantibacillus pentosus,9
Bigelowiella natans,9
Prochlorococcus marinus,9
Xanthomonas albilineans,9
Candidatus Phytoplasma solani,9
Dolichospermum heterosporum,10
Calothrix sp. 336/3,10
Fischerella sp. JS2,10
Nostoc sp. UHCC 0302,10
Nodularia spumigena,10
Anabaena cylindrica,10
Anabaena sp. 90,10
Chlorogloeopsis fritschii,10
Nostoc commune,10
Nostoc sp. TCL26-01,10
Anabaenopsis elenkinii,10
Nostoc sp. CENA543,10
Nostoc sp. C057,10
Nostoc sp. C110,10
Fischerella sp. NIES-3754,10
Nostoc sp. TCL240-02,10
Nostoc sp. PCC 7107,10
Rivularia sp. PCC 7116,10
Richelia sinica,10
Nostoc sp. C117,10
Sphaerospermopsis torques-reginae,10
Cylindrospermum stagnale,10
Nostoc sp. PCC 7120 = FACHB-418,10
Anabaena sp. WA102,10
Nostoc edaphicum,10
Moorena producens,10
Nostoc piscinale,10
Nostoc flagelliforme,10
Halotia branconii,10
Nostoc punctiforme,10
Nostoc sphaeroides,10
Gloeothece verrucosa,10
Nostoc sp. ATCC 53789,10
Trichormus azollae,10
Dolichospermum compactum,10
Nostoc sp. C052,10
Nostoc sp. NIES-3756,10
Nodularia sphaerocarpa,10
Nostoc sp. UHCC 0870,10
Calothrix sp. PCC 7507,10
Nostoc sp. MS1,10
Nostoc sp. PCC 7524,10
Anabaena azotica,10
Calothrix sp. NIES-3974,10
Nostoc sp. 'Peltigera membranacea cyanobiont' N6,10
Tolypothrix sp. PCC 7910,10
Nostoc sp. UHCC 0926,10
Planktothrix agardhii,10
Synechococcus sp. PCC 7502,11
Geminocystis herdmanii,11
Geminocystis sp. NIES-3709,11
Trichodesmium erythraeum,11
Methylobacterium radiotolerans,12
Methylobacterium fujisawaense,12
Methylobacterium phyllosphaerae,12
Sphingomonas sp. FARSPH,13
Sphingomonas sp. SUN019,13
Sphingomonas sp. CL5.1,13
Paracoccus alcaliphilus,14
Paracoccus tegillarcae,14
Paracoccus stylophorae,14
Paracoccus sp. TOH,14
Paracoccus fistulariae,14
Paracoccus zhejiangensis,14
Paracoccus sp. SCSIO 75233,14
Paracoccus sediminicola,14
Chryseobacterium sp. MYb264,15
Acinetobacter junii,15
Epilithonimonas vandammei,15
Enterococcus casseliflavus,15
Lactococcus cremoris,15
Sphingobacterium thalpophilum,15
Chryseobacterium manosquense,15
Sphingobacterium daejeonense,15
Loigolactobacillus bifermentans,15
Weissella soli,15
Acinetobacter baylyi,15
Cloacibacterium normanense,15
Chryseobacterium camelliae,15
Weissella jogaejeotgali,15
Empedobacter falsenii,15
Latilactobacillus sakei,15
Acinetobacter haemolyticus,15
Chryseobacterium taklimakanense,15
Leuconostoc carnosum,15
Kaistella faecalis,15
Sphingobacterium multivorum,15
Aerococcus viridans,15
Acinetobacter bereziniae,15
Epilithonimonas zeae,15
Flavobacterium channae,15
Citrobacter portucalensis,15
Loigolactobacillus coryniformis,15
Aliarcobacter butzleri,15
Chryseobacterium indoltheticum,15
Lactococcus raffinolactis,15
Enterococcus faecalis,15
Chryseobacterium scophthalmum,15
Chryseobacterium indologenes,15
Acinetobacter wuhouensis,15
Sphingobacterium sp. G1-14,15
Flavobacterium cyclinae,15
Anaerocolumna sp. AGMB13020,15
Acinetobacter johnsonii,15
Epilithonimonas sp. UC225_85,15
Cloacibacterium caeni,15
Chryseobacterium sp. Y16C,15
Moraxella sp. DOX410,16
Moraxella osloensis,16
Moraxella sp. K23,16
Rickettsiella endosymbiont of Miltochrista miniata,17
Rickettsiella endosymbiont of Litargus connexus,17
Rickettsiella endosymbiont of Aleochara curtula,17
Massilia cellulosiltytica,18
Massilia putida,18
Telluria mixta,18
Hymenobacter sp. BRD128,19
Hymenobacter sedentarius,19
Hymenobacter sp. BRD67,19
Hymenobacter nivis,19
Hymenobacter sp. PAMC 26628,19
Hymenobacter baengnokdamensis,19
Hymenobacter yonginensis,20
Hymenobacter canadensis,20
Hymenobacter sp. DG25B,20
Hymenobacter sp. APR13,20
Hymenobacter jejuensis,20
Hymenobacter sp. NBH84,20
Spirosoma aerolatum,21
Spirosoma sp. KCTC 42546,21
Spirosoma foliorum,21
Spirosoma endbachense,21
Spirosoma sp. KNUC1025,21
Spirosoma radiotolerans,21
Spirosoma sp. SC4-14,21
Myxococcus fulvus,22
Archangium minus,22
Myxococcus hansupus,22
Corallococcus macrosporus,22
Melittangium boletus,22
Myxococcus landrumus,22
Myxococcus sp. SDU36,22
Archangium gephyra,22
Archangium violaceum,22
Myxococcus xanthus,22
Cystobacter fuscus,22
Myxococcus stipitatus,22
Deinococcus deserti,23
Deinococcus actinosclerus,23
Deinococcus puniceus,23
Deinococcus sp. AJ005,23
Deinococcus taeanensis,23
Deinococcus psychrotolerans,23
Deinococcus sp. QL22,23
Deinococcus radiophilus,23
Deinococcus proteolyticus,23
Deinococcus irradiatisoli,23
Deinococcus aquaticus,23
Leishmania sp. Ghana 2012 LV757,24
Leishmania martiniquensis,24
Leishmania donovani,24
Leishmania sp. Namibia,24
Porcisia hertigi,24
Leishmania major,24
Leishmania enriettii,24
Leishmania orientalis,24
