"v1","v2","asso","diss","adja"
"Abiotrophia","Allokutzneria",0.831543929486954,0.290220666487628,0.709779333512372
"Abiotrophia","Anaerohalosphaera",0.816507252203854,0.302896638967937,0.697103361032063
"Abiotrophia","Asaia",0.817129576804757,0.302382558355507,0.697617441644493
"Abiotrophia","Bacterioplanoides",0.8676118827239,0.257282060466815,0.742717939533185
"Abiotrophia","Blastomonas",0.879805490210627,0.245147414619625,0.754852585380375
"Abiotrophia","Calycomorphotria",0.864035268477918,0.260734281906007,0.739265718093993
"Abiotrophia","Candidozyma",0.847277110520328,0.276335746402516,0.723664253597484
"Abiotrophia","Capilliphycus",0.83696130083783,0.285515935774319,0.714484064225681
"Abiotrophia","Casimicrobium",0.862289128878858,0.262403192740811,0.737596807259189
"Abiotrophia","Castellaniella",0.805980743306762,0.31146368704332,0.68853631295668
"Abiotrophia","Catellatospora",0.824390989456848,0.296318249980618,0.703681750019382
"Abiotrophia","Cellulomonas",0.802868133909883,0.313952119032598,0.686047880967402
"Abiotrophia","Chakrabartyella",0.860484731070611,0.264116706144641,0.735883293855359
"Abiotrophia","Chamaesiphon",0.864034227597997,0.260735279931584,0.739264720068416
"Abiotrophia","Chitiniphilus",0.859396898692097,0.265144395856204,0.734855604143796
"Abiotrophia","Chitinolyticbacter",0.807467295692597,0.310268193912463,0.689731806087537
"Abiotrophia","Dichelobacter",0.803808345569323,0.313202533858426,0.686797466141574
"Abiotrophia","Dickeya",0.80707141174761,0.310587015385696,0.689412984614304
"Abiotrophia","Echinicola",0.845630828737878,0.277821139640347,0.722178860359653
"Abiotrophia","Faecalimonas",0.843294300355658,0.279915790590976,0.720084209409024
"Abiotrophia","Fastidiosipila",0.816665175660057,0.302766266565434,0.697233733434566
"Abiotrophia","Granulicatella",0.861716679835763,0.262948017832648,0.737051982167352
"Abiotrophia","Halomicrobium",0.828476630939868,0.29285095958536,0.70714904041464
"Abiotrophia","Harbinvirus",0.835329582998854,0.286941123752893,0.713058876247107
"Acetoanaerobium","Calothrix",0.805286203005722,0.312020669983799,0.687979330016201
"Acetoanaerobium","Gloeobacter",0.819395221624381,0.300503559359635,0.699496440640365
"Acetobacter","Acidisarcina",0.806484205875146,0.311059314379793,0.688940685620207
"Acetobacter","Alicyclobacillus",0.800115409189725,0.316136513875157,0.683863486124843
"Acetobacter","Annandia",0.804098626349088,0.312970744360325,0.687029255639675
"Acetobacter","Halostagnicola",0.807095012100789,0.310568018233696,0.689431981766304
"Acidisarcina","Alkalilimnicola",0.832298221168043,0.289570180467496,0.710429819532504
"Acidisarcina","Anaeropeptidivorans",0.824296185821247,0.296398223829659,0.703601776170341
"Acidisarcina","Annandia",0.80670320931549,0.310883250340469,0.68911674965953
"Acidisarcina","Anoxybacter",0.846117948838372,0.277382453628224,0.722617546371776
"Acidisarcina","Aromatoleum",0.849888609289056,0.273962945223386,0.726037054776614
"Acidisarcina","Austwickia",0.811536079556799,0.306972246663441,0.693027753336559
"Acidisarcina","Biomaibacter",0.812443472868671,0.306232368579261,0.693767631420739
"Acidisarcina","Caldifermentibacillus",0.831474293948368,0.29028064528283,0.70971935471717
"Acidisarcina","Catalinimonas",0.824221294670139,0.296461384778744,0.703538615221256
"Acidisarcina","Chitinimonas",0.870107607380666,0.254845436117006,0.745154563882994
"Acidisarcina","Chondrinema",0.805071707549208,0.312192482653564,0.687807517346436
"Acidisarcina","Clostridium",0.808477171840932,0.309453411807875,0.690546588192125
"Acidisarcina","Deinococcus",0.815136557436547,0.304025856271677,0.695974143728323
"Acidisarcina","Flavobacterium",0.851550244221633,0.272442430412709,0.727557569587291
"Acidisarcina","Frederiksenia",0.844616025009233,0.278732824574688,0.721267175425312
"Acidisarcina","Fretibacter",0.815385278108363,0.303821264801888,0.696178735198112
"Acidisarcina","Halalkalicoccus",0.839107258670577,0.283630694151235,0.716369305848765
"Acidisarcina","Halorussus",0.813368979091928,0.30547587540432,0.69452412459568
"Acidisarcina","Halostagnicola",0.801753429810602,0.314838506372233,0.685161493627767
"Actinobaculum","Aeromonas",0.805787492165823,0.311618763743598,0.688381236256402
"Actinobaculum","Aggregatibacter",0.858190873830593,0.266279107488183,0.733720892511817
"Actinobaculum","Alloyangia",0.83945655004349,0.283322651721064,0.716677348278936
"Actinobaculum","Alphabaculovirus",0.840486831852163,0.282412082025395,0.717587917974605
"Actinobaculum","Anaerobutyricum",0.848320416624027,0.275390253436803,0.724609746563197
"Actinobaculum","Anaeromyxobacter",0.820763564158186,0.299363020296273,0.700636979703727
"Actinobaculum","Anaeropeptidivorans",0.844188827291271,0.279115722155461,0.720884277844539
"Actinobaculum","Anaerostipes",0.834679076759545,0.287507324463617,0.712492675536383
"Actinobaculum","Annandia",0.854150999108473,0.270045367384377,0.729954632615623
"Actinobaculum","Aquipseudomonas",0.846327698841462,0.277193345120818,0.722806654879182
"Actinobaculum","Atopobium",0.851262154210615,0.272706660891685,0.727293339108315
"Actinobaculum","Audreyjarvisvirus",0.866601931801313,0.25826156140499,0.74173843859501
"Actinobaculum","Aureibacter",0.833084916443552,0.288890189826903,0.711109810173097
"Actinobaculum","Aureimonas",0.855589488903905,0.268710356235199,0.731289643764801
"Actinobaculum","Australozyma",0.85547552476813,0.268816364114864,0.731183635885136
"Actinobaculum","Babesia",0.80469504721063,0.312493962173167,0.687506037826833
"Actinobaculum","Basilea",0.854428691536621,0.269788165477453,0.730211834522547
"Actinobaculum","Brevibacillus",0.836038207327049,0.286323062879111,0.713676937120889
