unique_otus
Achromobacter denitrificans
Achromobacter sp. AONIH1
Agrilutibacter solisilvae
Agromyces sp. LHK192
Altererythrobacter sp. B11
Aquabacterium sp. J223
Azospirillum brasilense
Azospirillum ramasamyi
Azospirillum sp. TSH100
Blastomonas marina
Bosea sp. NBC_00550
Bosea sp. Tri-49
Bosea vaviloviae
Bosea vestrisii
Bradyrhizobium oligotrophicum
Bradyrhizobium prioriisuperbiae
Brevirhabdus pacifica
Burkholderia cepacia
Burkholderia ubonensis
Caldimonas brevitalea
Caulobacter sp. NIBR1757
Caulobacter vibrioides
Cnuibacter physcomitrellae
Comamonas flocculans
Cupriavidus gilardii
Cupriavidus metallidurans
Cupriavidus sp. DF5525
Cupriavidus sp. WKF15
Eleftheria terrae
Erythrobacter sp. THAF29
Gaopeijia maritima
Gryllotalpicola protaetiae
Isoptericola variabilis
Lysobacter capsici
Magnetospirillum gryphiswaldense
Marilutibacter alkalisoli
Methylibium petroleiphilum
Methyloceanibacter caenitepidi
Microbacterium caowuchunii
Microbacterium hominis
Microbacterium limosum
Neotabrizicola shimadae
Novosphingobium sp. 9
Novosphingobium sp. BL-52-GroH
Novosphingobium sp. P6W
Pelagibacterium halotolerans
Phenylobacterium montanum
Phenylobacterium zucineum
Phycicoccus endophyticus
Polaromonas sp. JS666
Rhizobium sp. SYY.PMSO
Rhodobacter xanthinilyticus
Roseateles sp. DAIF2
Roseateles sp. SL47
Sinorhizobium fredii
Sphaerotilus microaerophilus
Sphingobium phenoxybenzoativorans
Sphingobium sp. SYK-6
Sphingopyxis alaskensis
Starkeya sp. ORNL1
Stella humosa
Streptomyces lydicus
Streptomyces sp. NBC_00425
Streptomyces sp. R21
Streptomyces virginiae
Sulfitobacter faviae
Termitidicoccus mucosus
Thioclava electrotropha
Tistrella mobilis
Xylanimonas cellulosilytica
Xylophilus rhododendri
uncultured Pleomorphomonas sp.
uncultured Roseibium sp.
uncultured Sphingopyxis sp.
