Threshold,NetworkType,Dataset,Nodes,Edges,Number_communities,Modularity,Avg_degree,Avg_clustering_coefficient,Density
0.10,cclasso,PGE_and_NOPGE_combined_sp_01,3208,1050309,4,0.26015402088217626,209.357819302122,0.23052913200193206,0.2041802649596775
0.20,cclasso,PGE_and_NOPGE_combined_sp_01,3208,1034293,4,0.27685376770812975,207.46952618510957,0.22602297975007107,0.20106675158066792
0.45,cclasso,PGE_and_NOPGE_combined_sp_01,1999,60989,26,0.5150673140263922,31.01646456714635,0.46339579069711423,0.03054029517261133
0.60,cclasso,PGE_and_NOPGE_combined_sp_01,454,3555,28,0.6872270679154839,9.787096838678128,0.6421875519458875,0.034571286868745804
0.50,cclasso,PGE_and_NOPGE_combined_sp_01,1308,28395,40,0.5796822650759009,23.86022867561017,0.5675222701684235,0.03321915163937303
0.35,cclasso,PGE_and_NOPGE_combined_sp_01,3207,387867,5,0.5110513459535577,97.34842204909951,0.3133225584890164,0.07544845463399717
0.40,cclasso,PGE_and_NOPGE_combined_sp_01,2964,141003,10,0.5032496066951883,43.6498567489765,0.35573262858227883,0.03211060570244896
0.25,cclasso,PGE_and_NOPGE_combined_sp_01,3208,732633,5,0.40554662087674054,163.63958725735435,0.22189719925513565,0.14242399147127505
0.70,cclasso,PGE_and_NOPGE_combined_sp_01,No network available,No network available,No network available,No network available,No network available,No network available,No network available
0.15,cclasso,PGE_and_NOPGE_combined_sp_01,3208,1050175,4,0.260647231155396,209.34597636711487,0.230480016363204,0.20415421533475323
0.30,cclasso,PGE_and_NOPGE_combined_sp_01,3208,609285,4,0.4838727247714052,144.0807477222867,0.29870925499661927,0.11844511732828826
0.55,cclasso,PGE_and_NOPGE_combined_sp_01,849,11526,41,0.6599115625988808,15.988973438781954,0.6271972480604034,0.03201880125341689
0.65,cclasso,PGE_and_NOPGE_combined_sp_01,100,366,11,0.6564950354416791,4.838602585467347,0.7469416241617989,0.07393939393939394
