Node,Community
Gemmatirosa,0
Defluviitalea,0
Fidelibacter,0
Aquicoccus,0
Amphritea,0
Areca,0
Fibrisoma,0
Deefgea,0
Haloferula,0
Azobacteroides,0
Halobacteroides,0
Allosaccharopolyspora,0
Aequorivita,0
Brachybacterium,0
Aeribacillus,0
Agarivorans,1
Chthonomonas,1
Aquifex,1
Aquiluna,2
Fontisphaera,2
Harrisonburgvirus,2
Croceibacterium,2
Alloalcanivorax,2
Glaucusvirus,2
Caproiciproducens,2
Cruoricaptor,2
Caldifermentibacillus,2
Fontisubflavum,2
Aurantimonas,2
Brasilonema,2
Frischella,2
Frigoriglobus,2
Allosphingosinicella,2
Guyparkeria,2
Halovenus,2
Caldithrix,2
Brettanomyces,2
Chlorovirus,3
Caenibius,3
Altericista,3
Fluviispira,3
Chryseolinea,3
Alkalicoccus,3
Cardiobacterium,3
Geothrix,3
Anderseniella,3
Acidipropionibacterium,3
Halosolutus,3
Aureimonas,3
Halomicronema,3
Caldibacillus,3
Chania,3
Fimbriimonas,3
Arenibacter,3
Fohxhuevirus,3
Clavibacter,3
Diachasmimorpha,4
Falsihalocynthiibacter,4
Anatilimnocola,4
Granulicatella,4
Aurantimicrobium,4
Haloprofundus,4
Haloferax,4
Gemycircularvirus,4
Asticcacaulis,4
Azorhizophilus,4
Actinobacillus,4
Hafnia,4
Gullanella,4
Baekduia,4
Alloscardovia,4
Aurantiacibacter,4
Atelocyanobacterium,4
Amylolactobacillus,4
Ensifer,4
Agathobacter,4
Gloeobacter,4
Desulfolutivibrio,4
Anaerohalosphaera,4
Endoriftia,4
Anaerolinea,4
Catalinimonas,4
Egbenema,4
Chelativorans,4
Halopseudomonas,4
Citrobacter,5
Curvibacter,5
Aquiflexum,5
Cryptococcus,5
Chloracidobacterium,5
Halarcobacter,6
Arenibacterium,6
Faecalibacillus,6
Calditerrivibrio,7
Halostagnicola,7
Carjivirus,7
Chenggangzhangella,7
Cellulosilyticum,7
Carboxydothermus,7
Biomaibacter,7
Chazhemtobacterium,7
Evansella,7
Cellulophaga,7
Allocoprobacillus,7
Catenulispora,7
Abiotrophia,7
Gloeomargarita,7
Duffyella,7
Cardinium,7
Emcibacter,7
Azotobacter,7
Aromatoleum,7
Halobellus,7
Carsonella,7
Desulfurobacterium,7
Faecalimonas,8
Aquabacterium,8
Capillimicrobium,8
Chondrinema,8
Halorarius,8
Erysipelatoclostridium,8
Antiquaquibacter,8
